product_id,product_name,sku,stock,price,category_name,extracted_supplier
489,Aspersor Rivulis Rondo 51 l/h | 5 mm TH | Rotor verde+Boquilla azul+antifugas+contrapeso rivulis+tubin negro 30 cm+inserto negro (INVERTEX),ASPERSOR-RIVULIS-RONDO-51-LH-5-MM-TH-ROTOR-VERDEBO,1,0.00,,INVERTEX
490,Aspersor para estaca Rivulis Rondo 30 l/h | 5 mm TH | Rotor negro+antifugas+Boquilla azul+tubin negro 45 cm+inserto azul (INVERTEX),ASPERSOR-PARA-ESTACA-RIVULIS-RONDO-30-LH-5-MM-TH-R,1,0.00,,INVERTEX
452,BOLSA  SILO 80X120 (Fernanda Molina) 100 Piezas,BOLSA-SILO-80X120-FERNANDA-MOLINA-100-PIEZAS,1,1492.25,,Fernanda Molina
704,BOLSA 18X23 CAL 400 ,BOL-18X23,1,1664.90,Insumos para Propagacion,
706,BOLSA VIVERO 20X30 CAL 400 ,BOL-VIV20X30,1,1664.90,Bolsas y Contenedores,
546,Bomba verde WDM 2HP 220/127 2HP OUT/IN 1.75'' (INVERTEX),BOMBA-VERDE-WDM-2HP-220127-2HP-OUTIN-175-INVERTEX,1,7923.07,,INVERTEX
419,CABLE BLANCO SENCILLO CDC POT STP-2 CAL 12AWG  (Tornillo),CABLE-BLANCO-SENCILLO-CDC-POT-STP-2-CAL-12AWG-TORN,1,,,Tornillo
591,"CABLE NEGRO 10AWG  (55CM, 57CM, 33CM)",CABLE-NEGRO-10AWG-55CM-57CM-33CM,1,15.00,,"55CM, 57CM, 33CM"
592,CABLE VERDE 12AWG (160CM),CABLE-VERDE-12AWG-160CM,1,15.00,,160CM
503,CAM-LOCK 1.5 PULG (WADE RAIN) C200,CAM-LOCK-15-PULG-WADE-RAIN-C200,1,265.00,,WADE RAIN
544,"CODO GALBANIZADO 1.25"" (Tornillo)",CODO-GALBANIZADO-125-TORNILLO,1,36.21,,Tornillo
530,"CODO PVC DE 1 1/4"" (Riegos Del Norte)",CODO-PVC-DE-1-14-RIEGOS-DEL-NORTE,1,12.00,,Riegos Del Norte
472,COOLPRO 4X5.5 HEAD ONLY MC FOGGER 4 SALIDAS (AGRORIEGO),COOLPRO-4X55-HEAD-ONLY-MC-FOGGER-4-SALIDAS-AGRORIE,1,16.53,Equipos de Riego,AGRORIEGO
524,"COPLE 1/2"" HIDRAULICO (Riego de l Norte)",COPLE-12-HIDRAULICO-RIEGO-DE-L-NORTE,1,8.00,,Riego de l Norte
433,Controlador de Carga solar MPPT 40A 12/24V  XTRA-4210-N (SYSCOM),CONTROLADOR-DE-CARGA-SOLAR-MPPT-40A-1224V-XTRA-421,1,2000.06,,SYSCOM
415,DESCONECTADOR SHIELD VDE  (VDE),DESCONECTADOR-SHIELD-VDE-VDE,1,731.32,,VDE
502,FIX 10 E BOMBA (VDE),FIX-10-E-BOMBA-VDE,1,2191.46,,VDE
407,FLOT.NIVEL TIPO BOYA BOM.SUM. KOLOSAL (SENSOR)(R-KOLOS-FLOTN)(VDE),FLOTNIVEL-TIPO-BOYA-BOMSUM-KOLOSAL-SENSORR-KOLOS-F,1,119.18,,VDE
559,Filtro ArKAL 1.5''  DISC (INVERTEX),FILTRO-ARKAL-15-DISC-INVERTEX,1,950.00,,INVERTEX
